0.200 54.172 -172.240 -0.379 5	500.000 500.000 -500.000 500.000 0.000 2000.000 -1500.000 1500.000 1500.000 1500.000 
0.400 53.592 -207.885 -0.270 5	500.000 500.000 -500.000 500.000 0.000 2000.000 -1500.000 1500.000 1500.000 1500.000 
0.600 43.445 -170.769 -0.386 5	500.000 500.000 -500.000 500.000 0.000 2000.000 -1500.000 1500.000 1500.000 1500.000 
0.800 55.675 -181.891 -0.387 5	500.000 500.000 -500.000 500.000 0.000 2000.000 -1500.000 1500.000 1500.000 1500.000 
1.000 55.827 -145.597 -0.454 5	500.000 500.000 -500.000 500.000 0.000 2000.000 -1500.000 1500.000 1500.000 1500.000 
1.200 42.624 -187.241 -0.320 5	500.000 500.000 -500.000 500.000 0.000 2000.000 -1500.000 1500.000 1500.000 1500.000 
1.400 57.204 -170.879 -0.382 5	500.000 500.000 -500.000 500.000 0.000 2000.000 -1500.000 1500.000 1500.000 1500.000 
1.600 53.982 -142.585 -0.289 5	500.000 500.000 -500.000 500.000 0.000 2000.000 -1500.000 1500.000 1500.000 1500.000 
1.800 62.320 -162.325 -0.385 5	500.000 500.000 -500.000 500.000 0.000 2000.000 -1500.000 1500.000 1500.000 1500.000 
2.000 64.321 -166.927 -0.382 5	500.000 500.000 -500.000 500.000 0.000 2000.000 -1500.000 1500.000 1500.000 1500.000 
2.200 49.042 -180.069 -0.385 5	500.000 500.000 -500.000 500.000 0.000 2000.000 -1500.000 1500.000 1500.000 1500.000 
2.400 49.771 -176.774 -0.390 5	500.000 498.000 -500.000 498.000 0.000 1998.000 -1500.000 1498.000 1500.000 1498.000 
2.600 56.309 -149.313 -0.398 5	500.000 494.200 -500.000 494.200 0.000 1994.200 -1500.000 1494.200 1500.000 1494.200 
2.800 52.565 -166.300 -0.386 5	500.000 488.780 -500.000 488.780 0.000 1988.780 -1500.000 1488.780 1500.000 1488.780 
3.000 53.523 -189.146 -0.361 5	500.000 481.902 -500.000 481.902 0.000 1981.902 -1500.000 1481.902 1500.000 1481.902 
3.200 56.994 -145.231 -0.385 5	500.000 473.712 -500.000 473.712 0.000 1973.712 -1500.000 1473.712 1500.000 1473.712 
3.400 77.366 -131.557 -0.423 5	500.000 464.341 -500.000 464.341 0.000 1964.341 -1500.000 1464.341 1500.000 1464.341 
3.600 89.927 -86.699 -0.374 5	500.000 453.907 -500.000 453.907 0.000 1953.907 -1500.000 1453.907 1500.000 1453.907 
