0.200 0.000 0.000 0.000 12	1998.726 -207.651 1173.315 1371.184 227.142 -1921.010 653.701 194.662 1673.078 795.772 991.800 1747.695 496.921 -1320.304 325.355 -2309.042 1791.904 862.319 2341.845 637.401 1420.603 -927.876 2206.323 775.566 
0.400 -7.633 0.424 -0.013 12	1955.957 -211.337 1208.218 1291.878 161.984 -1969.019 680.946 165.913 1705.340 761.503 992.752 1768.647 539.357 -1354.125 308.504 -2317.694 1809.227 821.017 2321.961 707.084 1389.093 -906.709 2212.612 790.274 
0.600 3.532 1.150 -0.010 12	1963.522 -218.692 1208.003 1331.547 234.928 -1894.240 746.477 204.506 1681.397 727.324 1008.556 1755.880 556.195 -1320.273 334.447 -2295.104 1800.692 769.589 2345.131 658.177 1378.028 -887.622 2201.104 820.149 
0.800 3.461 1.643 -0.010 12	1949.994 -277.383 1248.998 1382.134 162.198 -1935.451 712.498 215.317 1678.872 784.181 946.544 1810.721 616.925 -1349.684 279.703 -2295.151 1795.022 797.067 2374.527 616.934 1467.427 -949.114 2250.993 824.899 
1.000 -0.152 0.930 -0.014 12	1915.254 -250.544 1118.220 1360.000 227.573 -1956.461 643.514 225.656 1736.279 770.479 1036.324 1741.642 540.106 -1309.003 307.945 -2329.991 1824.298 735.767 2330.098 659.921 1394.069 -882.655 2174.755 757.218 
1.200 9.360 1.232 -0.019 12	1953.482 -238.745 1174.715 1325.028 203.094 -1898.490 687.858 198.451 1736.349 800.074 1021.814 1795.229 547.849 -1369.341 316.698 -2308.457 1813.076 793.569 2399.924 613.671 1420.554 -902.565 2205.961 755.598 
1.400 10.521 2.426 -0.011 12	1903.486 -221.986 1239.035 1343.546 222.431 -1935.875 676.243 205.552 1719.735 755.227 1035.146 1793.785 590.254 -1346.222 329.071 -2281.365 1766.694 803.508 2340.043 645.945 1451.153 -939.611 2240.750 808.626 
1.600 11.388 2.840 -0.007 12	1898.726 -203.705 1202.963 1330.953 131.952 -1932.557 702.863 197.187 1692.894 763.382 1017.182 1763.351 544.268 -1368.415 349.358 -2283.227 1790.412 811.369 2360.289 690.677 1392.929 -917.583 2199.696 784.649 
1.800 14.903 2.090 -0.005 12	1978.132 -274.188 1174.647 1310.995 177.986 -1916.150 683.114 274.631 1712.078 787.389 1003.946 1748.342 520.415 -1327.715 314.220 -2283.495 1808.291 776.185 2366.179 672.206 1442.402 -959.593 2186.613 838.313 
2.000 21.152 1.640 0.000 12	1981.089 -266.047 1211.635 1352.472 184.098 -1902.617 715.380 242.371 1720.099 757.106 1026.253 1743.496 567.438 -1343.752 315.580 -2303.664 1769.962 816.195 2367.909 642.954 1410.901 -910.816 2261.935 768.190 
2.200 18.447 0.898 0.006 12	1975.531 -181.597 1118.172 1345.346 219.844 -1927.946 683.556 200.574 1731.734 752.071 964.124 1772.372 572.227 -1318.747 343.931 -2304.217 1828.794 825.131 2353.227 686.192 1456.437 -885.730 2169.291 792.342 
2.400 5.836 1.068 0.007 12	1943.263 -236.403 1200.327 1354.071 171.930 -1942.618 688.996 238.057 1712.202 779.655 1025.347 1774.963 547.071 -1386.622 301.571 -2269.236 1852.142 750.739 2341.613 689.154 1423.016 -908.363 2291.304 814.518 
2.600 7.778 -0.582 -0.000 12	1968.654 -249.755 1186.697 1312.278 159.126 -1935.002 701.480 178.672 1687.481 797.515 970.403 1793.944 590.492 -1385.351 318.106 -2306.466 1793.166 828.840 2351.820 687.646 1445.731 -880.932 2235.793 779.145 
2.800 14.435 -0.246 -0.001 12	1913.219 -238.679 1215.466 1352.897 193.273 -1899.941 702.487 225.863 1698.479 736.836 1006.864 1785.109 531.072 -1318.661 309.873 -2325.727 1820.267 775.039 2375.013 643.300 1408.390 -862.862 2219.632 770.336 
3.000 7.419 0.033 0.012 12	1945.942 -230.707 1222.299 1325.514 236.848 -1958.617 706.586 248.926 1686.546 768.240 973.644 1774.861 506.038 -1315.064 286.174 -2302.139 1796.585 784.752 2334.654 617.444 1419.791 -887.730 2275.598 814.824 
3.200 7.140 -0.103 0.009 12	1959.876 -250.104 1150.973 1327.773 230.881 -1932.619 668.357 198.392 1727.582 765.336 1015.063 1754.100 573.472 -1330.561 318.027 -2286.291 1803.939 864.125 2385.948 683.358 1418.427 -882.213 2224.155 807.850 
3.400 18.686 0.704 0.006 12	1954.583 -210.556 1171.913 1322.154 229.293 -1942.862 676.303 216.426 1694.987 833.248 951.688 1767.059 524.477 -1347.263 311.308 -2329.092 1820.794 793.920 2323.806 687.639 1404.350 -924.376 2177.553 787.600 
3.600 20.180 0.497 -0.002 12	1950.847 -215.219 1164.207 1333.443 188.053 -1884.475 666.187 245.299 1669.570 744.366 1001.650 1755.659 543.509 -1343.560 324.660 -2313.562 1791.987 788.523 2373.536 657.108 1413.127 -885.920 2295.946 796.029 
3.800 8.962 0.596 0.001 12	1939.995 -219.737 1196.149 1359.435 191.313 -1944.075 675.342 189.903 1665.867 765.110 998.492 1777.513 564.313 -1359.107 266.502 -2306.022 1849.621 826.615 2340.180 687.124 1439.283 -890.569 2222.414 891.305 
4.000 5.200 0.487 -0.005 12	1872.913 -229.354 1197.570 1337.413 171.557 -1925.111 715.111 186.987 1700.501 776.255 977.949 1783.531 536.504 -1320.015 253.829 -2245.744 1776.164 800.625 2341.221 683.814 1381.077 -897.580 2208.073 821.506 
4.200 3.738 0.853 0.005 12	1930.471 -281.101 1184.700 1341.145 209.074 -1892.788 661.653 186.539 1681.360 775.612 971.226 1774.897 584.781 -1300.409 333.131 -2281.630 1845.818 794.035 2372.739 595.967 1420.719 -889.178 2199.272 816.707 
4.400 1.650 2.004 0.019 12	1944.646 -264.249 1186.387 1307.927 219.829 -1925.883 676.189 198.732 1724.498 790.736 1032.487 1735.241 463.141 -1318.901 351.466 -2335.917 1781.252 803.217 2301.564 705.568 1419.652 -894.187 2231.644 817.563 
4.600 -0.727 1.822 0.010 12	1916.351 -216.526 1204.638 1333.525 178.669 -1949.934 686.367 262.158 1705.748 741.719 1064.142 1745.297 549.318 -1292.680 337.799 -2299.059 1799.662 731.974 2371.947 601.952 1414.823 -893.741 2269.518 827.741 
4.800 4.511 1.993 0.005 12	1977.112 -211.523 1161.356 1335.551 224.619 -1927.099 698.347 219.186 1739.140 791.045 988.801 1769.805 552.162 -1344.302 312.594 -2331.540 1819.890 790.110 2300.573 672.643 1399.008 -883.734 2237.591 802.210 
5.000 -5.590 1.844 0.007 12	1943.530 -216.126 1187.388 1366.277 153.480 -1943.123 696.072 246.998 1665.396 791.609 994.392 1803.912 551.927 -1330.067 327.333 -2294.269 1782.327 752.348 2362.646 676.211 1405.501 -937.204 2261.867 796.573 
5.200 -9.268 1.830 0.003 12	1982.461 -240.152 1191.857 1357.094 184.898 -1915.104 729.925 190.285 1699.854 755.348 1004.102 1803.251 523.234 -1327.181 278.561 -2314.114 1759.995 790.074 2389.980 675.897 1422.657 -910.612 2170.005 811.609 
5.400 -13.536 2.965 0.002 12	1952.500 -197.206 1211.389 1356.751 159.478 -1902.473 707.274 213.612 1698.708 779.636 989.789 1765.225 574.384 -1292.670 342.776 -2318.064 1803.033 848.222 2388.808 637.661 1474.655 -903.089 2258.563 802.049 
5.600 -11.157 3.513 0.006 12	1953.012 -199.032 1220.109 1312.304 199.536 -1924.861 699.956 214.038 1707.788 752.906 1012.757 1796.919 460.178 -1339.836 284.898 -2288.635 1876.140 775.304 2342.984 686.192 1445.679 -934.719 2203.857 830.764 
5.800 -19.788 4.697 0.004 12	1992.902 -275.660 1148.214 1306.522 205.862 -1923.377 689.921 198.819 1681.791 714.477 1004.274 1718.661 549.010 -1352.321 351.274 -2334.089 1786.443 809.608 2404.818 640.618 1440.132 -900.340 2223.722 827.715 
6.000 -4.940 5.241 0.010 12	1943.503 -184.136 1126.784 1357.518 209.362 -1936.396 697.527 209.538 1697.007 754.006 997.642 1796.582 562.561 -1338.682 357.254 -2308.879 1835.338 806.997 2337.309 598.219 1444.015 -884.924 2216.711 803.543 
6.200 -6.021 6.055 0.001 12	1925.945 -272.231 1165.942 1332.916 213.023 -1958.245 680.467 225.513 1661.479 770.493 995.185 1782.757 535.891 -1322.839 285.747 -2322.557 1861.781 780.053 2394.904 632.589 1433.834 -903.645 2244.038 790.609 
6.400 -11.225 6.204 0.004 12	1971.433 -239.031 1174.703 1402.086 206.589 -1896.532 677.143 166.204 1729.723 802.755 964.518 1813.030 537.346 -1311.776 323.213 -2297.238 1793.377 838.580 2371.150 701.236 1435.710 -918.191 2224.678 831.593 
6.600 -16.847 5.513 0.001 12	1962.659 -208.401 1193.901 1345.562 185.988 -1891.289 669.608 227.571 1698.845 742.655 1035.590 1792.360 597.884 -1312.384 328.100 -2335.215 1796.417 850.917 2377.247 629.919 1335.366 -881.329 2261.035 777.658 
6.800 -14.625 5.758 -0.000 12	1978.818 -214.255 1158.322 1337.716 237.308 -1930.296 630.213 154.926 1693.176 812.058 1028.687 1791.455 551.341 -1299.599 321.759 -2310.834 1803.181 792.808 2345.927 666.824 1489.928 -905.414 2235.474 837.118 
7.000 -24.903 4.578 -0.008 12	1909.331 -210.824 1193.599 1347.704 159.568 -1890.597 749.990 232.696 1716.601 767.321 1007.945 1764.233 559.048 -1292.560 303.836 -2280.288 1758.818 823.962 2369.429 683.039 1440.002 -866.020 2200.334 815.503 
7.200 -19.882 5.046 -0.003 12	1934.637 -242.208 1177.898 1303.390 212.668 -1956.235 704.940 225.920 1640.628 801.887 959.394 1769.544 494.516 -1363.014 358.342 -2252.699 1831.878 821.859 2390.494 664.592 1428.644 -914.352 2181.583 792.477 
7.400 -13.167 4.627 -0.006 12	1984.614 -214.455 1174.903 1344.302 217.111 -1938.020 662.374 188.302 1700.664 781.155 991.575 1773.872 575.085 -1302.999 333.230 -2320.375 1785.531 840.637 2367.378 615.089 1421.143 -872.452 2239.277 820.857 
7.600 -6.218 4.876 -0.001 12	1957.592 -252.086 1143.535 1339.276 132.566 -1958.442 732.390 221.340 1653.822 780.395 976.315 1784.290 549.651 -1362.456 325.451 -2301.895 1741.355 834.048 2363.172 641.839 1447.017 -903.414 2226.184 814.080 
7.800 -5.295 4.891 -0.019 12	1896.490 -225.299 1193.490 1323.271 204.119 -1932.208 715.284 183.633 1704.612 783.265 1010.464 1754.380 547.606 -1339.028 333.195 -2310.234 1835.779 815.838 2399.654 690.982 1467.111 -896.948 2259.228 758.726 
8.000 -1.896 4.418 -0.009 12	1932.687 -159.182 1202.477 1348.850 212.965 -1916.952 749.840 170.284 1658.999 747.869 1007.034 1791.701 513.962 -1306.057 275.089 -2307.487 1831.738 786.893 2345.232 681.819 1429.640 -914.102 2212.209 814.453 
8.200 5.602 3.647 -0.000 12	1926.574 -195.172 1163.168 1367.622 170.136 -1946.540 711.580 248.521 1703.202 768.918 1004.177 1728.281 575.364 -1346.744 302.989 -2329.481 1812.730 752.322 2360.193 627.563 1467.061 -894.829 2249.732 784.060 
8.400 2.294 3.819 0.000 12	1938.146 -211.904 1142.289 1332.369 232.398 -1928.266 665.709 254.696 1678.337 783.644 970.529 1775.698 533.040 -1309.504 306.322 -2299.725 1752.908 779.009 2386.360 630.928 1389.841 -876.378 2220.319 797.522 
8.600 -4.461 2.575 0.007 12	1927.916 -259.234 1200.658 1303.155 223.312 -1896.730 695.122 250.176 1712.761 760.166 1025.929 1775.534 521.423 -1315.912 326.559 -2288.912 1800.000 754.441 2334.597 683.916 1420.274 -874.660 2207.501 772.417 
