42.968 0 0 0 16	-351.252 131.328 399.155 207.787 -585.123 1412.612 338.788 1921.360 1843.371 689.208 -1435.083 1385.843 968.362 1985.436 2172.211 1578.203 975.678 2609.569 -586.939 2884.898 -1942.083 2398.272 -2545.251 1917.984 -3192.629 591.719 -200.606 3279.871 -4508.351 2198.870 -4512.988 2875.090 
43.182 0 0 0 16	-351.252 131.328 399.155 207.787 -585.123 1412.612 338.440 1919.390 1843.371 689.208 -1447.122 1373.267 968.362 1985.436 2173.020 1578.791 976.378 2611.442 -587.338 2886.858 -1943.341 2399.827 -2546.050 1918.586 -3193.612 591.901 -200.789 3282.865 -4507.452 2198.431 -4512.988 2875.090 
43.395 0 0 0 16	-351.252 131.328 399.155 207.787 -585.888 1414.460 338.614 1920.375 1843.371 689.208 -1434.364 1385.149 968.800 1986.335 2169.784 1576.440 976.028 2610.505 -587.338 2886.858 -1942.712 2399.050 -2546.050 1918.586 -3192.629 591.719 -200.667 3280.869 -4506.553 2197.993 -4513.831 2875.628 
43.609 0 0 0 15	-351.252 131.328 399.155 207.787 -585.506 1413.536 338.093 1917.421 1843.371 689.208 -1433.644 1384.454 985.205 1976.015 2172.211 1578.203 976.028 2610.505 -587.139 2885.878 -1942.712 2399.050 -2545.251 1917.984 -3194.595 592.083 -1876.008 3528.259 -4515.518 2876.702 
43.823 0 0 0 15	-349.379 130.627 400.062 203.842 -583.975 1409.840 337.572 1914.466 1847.436 672.412 -1446.396 1372.579 984.312 1974.225 2171.402 1577.616 975.328 2608.632 -586.540 2882.938 -1940.824 2396.718 -2542.855 1916.179 -3196.562 592.448 -200.544 3278.873 -1143.283 3626.032 
44.036 0 0 0 14	-352.678 121.437 399.963 195.075 -581.679 1404.297 336.704 1909.542 1843.677 671.044 -1442.044 1368.449 982.081 1969.751 2168.806 1604.832 972.876 2602.075 -585.145 2876.079 -1937.677 2392.832 -2541.258 1914.975 -3198.656 564.009 866.009 3231.988 
44.250 0 0 0 13	-350.968 110.660 400.383 182.465 -590.004 1389.962 334.794 1898.709 1846.635 653.928 -1436.241 1362.942 976.727 1959.011 2167.357 1574.677 968.674 2590.835 -582.952 2865.300 -1932.643 2386.615 -2549.030 1886.183 -3196.686 563.662 
44.464 0 0 0 15	-353.374 91.389 398.579 169.187 -1018.975 411.693 -584.924 1377.996 332.363 1884.922 -1441.498 1344.219 969.142 1943.797 2169.618 1547.573 963.771 2577.722 -579.762 2849.621 -1945.127 2359.628 -2542.599 1881.424 -3198.524 535.249 857.985 3202.044 -1894.797 3489.783 
44.678 0 0 0 13	-351.467 77.918 399.022 149.188 -1019.470 391.338 -589.351 1355.415 344.972 1861.302 -1443.589 1322.806 979.711 1922.792 2164.733 1544.089 958.167 2562.735 -577.370 2837.862 -1936.222 2348.825 -2552.449 1854.462 823.750 3185.206 
44.891 0 0 0 14	-352.090 52.620 396.746 125.094 -1018.627 370.750 -593.835 1333.776 340.598 1837.703 -1443.187 1299.452 986.295 1894.655 2164.200 1515.389 951.513 2544.938 -597.330 2810.218 -1946.361 2319.583 -2557.137 1823.988 846.856 3160.509 -1156.960 3560.756 
