21.819 -20.618 275.261 -0.851 9	291.220 100.275 -367.226 769.905 405.658 1178.116 -274.662 1238.920 -1289.967 1564.855 -206.733 2362.974 564.004 2349.246 -835.014 2731.206 -1539.803 2512.731 
22.033 9.744 315.072 -0.848 9	291.220 100.275 -367.226 769.905 415.923 1174.531 -274.662 1238.920 -1289.967 1564.855 -206.733 2362.974 564.004 2349.246 -835.306 2732.163 -1540.326 2513.583 
22.246 12.505 295.501 -0.830 10	292.084 97.730 -367.226 769.905 405.658 1178.116 -274.662 1238.920 -1289.967 1564.855 -206.646 2361.978 564.004 2349.246 -835.598 2733.119 -1539.803 2512.731 -2210.480 4338.311 
22.460 20.655 304.528 -0.910 9	292.165 100.601 -367.226 769.905 415.923 1174.531 -274.445 1237.943 -1289.331 1564.083 -206.733 2362.974 563.771 2348.273 -835.306 2732.163 -1540.326 2513.583 
22.673 1.223 304.547 -0.842 9	292.165 100.601 -367.226 769.905 415.923 1174.531 -274.662 1238.920 -1290.603 1565.626 -206.646 2361.978 564.004 2349.246 -835.014 2731.206 -1540.326 2513.583 
22.887 0.500 316.054 -0.850 9	291.220 100.275 -367.226 769.905 415.923 1174.531 -274.662 1238.920 -1289.967 1564.855 -206.646 2361.978 563.771 2348.273 -835.306 2732.163 -1539.803 2512.731 
23.100 -14.639 284.514 -0.843 9	291.220 100.275 -367.226 769.905 415.923 1174.531 -274.878 1239.896 -1289.331 1564.083 -206.646 2361.978 564.004 2349.246 -835.598 2733.119 -1539.803 2512.731 
23.314 22.837 304.837 -0.842 9	292.165 100.601 -367.226 769.905 405.658 1178.116 -274.662 1238.920 -1289.967 1564.855 -206.646 2361.978 584.725 2345.205 -835.306 2732.163 -1540.326 2513.583 
23.528 10.179 289.858 -0.843 9	292.165 100.601 -367.226 769.905 415.923 1174.531 -274.662 1238.920 -1289.967 1564.855 -206.733 2362.974 564.004 2349.246 -835.014 2731.206 -1539.803 2512.731 
23.742 -26.194 292.555 -0.893 9	292.165 100.601 -367.226 769.905 405.658 1178.116 -274.662 1238.920 -1291.239 1566.398 -206.733 2362.974 564.004 2349.246 -835.598 2733.119 -1540.326 2513.583 
